MONTHS,,WEEKENDS,NOTES,Adult Availability Comments,SUGGESTED VENUES FOR CAMPOUTS?
JUNE,2025,,,,We could visit Unicoi Zipline & Aerial Adventure Park in Helen and camp at the  Bear Ridge Group Camp site at Smithgall Woods (Troop 370 planned this for March). Campsite is 1.5 mile paved walk from parking area.
,,6-8,boys returning from Woodruff summer camp,,Shotgun shooting at Big Red Oak Plantation and camp at primitive plantation site
,,13-15,Scoutland Pathfinder MB clinics offered weeks of June 9-13 and June 16-20. Can camp with reservation.,,https://www.bigredoakplantation.com/area-lodging
,,20-22,Juneteenth is Thurs 6/19? Could camp at Scoutland (1.5 hours north) and do MB clinics,colleen N/A,
,,27-29,,,"Rotary Scout Camp of Northeast Georgia Council (up on Lake Hartwell, about 2+ hours north up 75)"
,,,,,Scoutland Camp - Northeast Georgia Council
JULY,2025,,TOO HOT - NO CAMPING?,,Rainy Mountain Camp - Northeast Goergia Council
,,4-6,,,
,,11-13,,,From Ed Mahan:
,,18-20,,,1. AL Talladega National Forest
,,25-27,,,2. CAAB
,,,,,3. NOC in North Carolina.
AUGUST,2025,,,,4. Banning Mills GA
,,1-3,Allatoona Aquatics Base classes,,5. Fiery Gizzard Trail GA
,,8-10,"last weekend before school starts; propose Fri or Sat night campout at CAAB with MB class on Saturday (canoeing, fishing, kayaking or swimming)",,6. We really hit the scout csmps as they are safe and inexpensive
,,15-17,"Shooting Sports MB day at Rainy Mountain Scout Camp (rifle,shotgun, archery) on Sat 8/16 - 2.5 hours drive in Clayton. No age prerequisite",,- Rainy Mt.
,,22-24,likely will be Troop 370 Merit badge clinic at St James - should encourage participation ,,- Sydney Dew
,,29-31,Labor Day weekend,,- Scoutland
,,,,,Camp Comer
SEPTEMBER,2025,,,,Camp Jackson
,,5-7,,,
,,12-14,,Atlanted United home game,
,,19-21,,Atlanted United home game,
,,26-28,First Year Scout Skills at Woodruff Scout Camp,,
,,,,,
OCTOBER,2025,,,,
,,3-5,,"JG out of town, Colleen OOT",
,,10-11,Fall Break is Oct 13-14,,
,,17-19,Oct 18 most likely Fall Fair - Troop Service Project,,
,,24-25,proposed Campout at Cloudland Canyon? (also 10/25 is Stranger Things MB Summit - ),,
,,31-2,,,
,,,,,
NOVEMBER,2025,,,,
,,31-2,No School Nov 3 for Teacher conferences,,
,,7-9,OA induction weekend,,
,,14-16,Conservation Weekend @ Woodruff,,
,,21-23,,,
,,28-30,weekend following Thanksgiving,,
,,,,,
DECEMBER,2025,,,,
,,5-7,Nav-O orienteering competition at Bert Adams,,
,,12-14,Wreaths Across America service project?,,
,,19-21,,,
,,26-28,Dec 27-31 is Winter Camp @ Bert Adams for anyone interested,,
,,,,,
JANUARY,2026,,,,
,,2-4,,,
,,9-11,probable Day of Fire at Allatoona - anyone interested could camp that weekend on their own before or after event,,
,,16-18,MLK Weekend - another Caving trip since too cold for regular camping????,,
,,23-25,,,
,,30-1,Eagle MB Summit usually Feb 1,,
,,,,,
Februay,2026,,,,
,,6-8,,,
,,13-15,"President's Day off 2/16 - presumably best weekend for camping, little distance from spring break",,
,,20-22,,,
,,27-1,First weekend of spring break,,
,,,,,
MARCH,2026,,,,
,,6-8,Second weekend of spring break,,
,,13-15,,,
,,20-22,possible camping weekend,,
,,27-29,possible camping weekend,,
,,,,,
APRIL,2026,,,,
,,3-5,No school on 4/2 and 4/6 b/c of Passover and Easter,,
,,10-12,likely Prom,,
,,17-19,,,
,,24-26,best camping weekend,,
,,,,,
MAY,2026,,,,
,,1-3,typically this is the only possible weekend; we had no troop campout in 2025,,
,,8-10,proposed pool party instead of Troop Meeting on Tuesday night May 5th,,
,,15-17,,,
,,22-24,,,