VENUE,NOTES,PIONEER SITES?,CAMPSITES?,FISHING?,DATES VISITED BY TROOP
"Apple Island, Townville SC (2hrs)",Troop 370,,,,
Blood Mountain,,,,,
Cloudland Canyon,,,,,
Fort Mountain State Park,1hr 45min,,,,
Fort Yargo State Park,@ 1 hour northeast,,,,Janaury 2023
Hard Labor State Park,@ 1 hour southeast,,,,
High Falls State Park,                1hr,,,,
Providence Canyon,@ 3 hours south,,,,
Providence Canyon,                2hr 15min,,,,
Red Top Mountain,@ 1 hour north up I-75,,,,December 2022
"Skidaway Island, Savannah (4.5 hrs)",Troop 370,,,,
Smithgall Woods,,,,,
Springer Mountain,,,,,
Tallulah Falls,@ 2 hrs northeast,,,,February 2023
Uchee Creek State Park (Ft. Benning),Ft. Benning Infantry Museum,,,,
Unicoi State Park (Helen),,,,,
Vogel State Park,                1hr 45min,,,,
Woody's Gap,,,,,